actor_name,actor_name,movies,revenues,costs,gross_profit,return,count
Michael C. Hall,Michael C. Hall,"[https://en.wikipedia.org/wiki/Cold_in_July_(film), https://en.wikipedia.org/wiki/Kill_Your_Darlings_(2013_film), https://en.wikipedia.org/wiki/Peep_World]",0.0,0.0,0.0,,3
Ahna O'Reilly,Ahna O'Reilly,"[https://en.wikipedia.org/wiki/Fruitvale_Station, https://en.wikipedia.org/wiki/Jobs_(film)]",53300000.0,12900000.0,13750000.0,1.06589147287,2
LeBron James,LeBron James,[https://en.wikipedia.org/wiki/Trainwreck_(film)],140800000.0,35000000.0,35400000.0,1.01142857143,1
Martin Landau,Martin Landau,[https://en.wikipedia.org/wiki/Frankenweenie_(2012_film)],81500000.0,39000000.0,1750000.0,0.0448717948718,1
Yvan Attal,Yvan Attal,[https://en.wikipedia.org/wiki/Anthony_Zimmer],0.0,0.0,0.0,,1
Riley Griffiths,Riley Griffiths,[https://en.wikipedia.org/wiki/Super_8_(film)],260100000.0,50000000.0,80050000.0,1.601,1
Stephen Tobolowsky,Stephen Tobolowsky,[https://en.wikipedia.org/wiki/Peep_World],0.0,0.0,0.0,,1
David Allen Grier,David Allen Grier,[https://en.wikipedia.org/wiki/Road_Hard],0.0,0.0,0.0,,1
Jake Busey,Jake Busey,[https://en.wikipedia.org/wiki/Crazy_Eyes_(film)],6106.0,10000000.0,-9996947.0,-0.9996947,1
Jon Tenney,Jon Tenney,"[https://en.wikipedia.org/wiki/Green_Lantern_(film), https://en.wikipedia.org/wiki/Legion_(2010_film)]",287800000.0,226000000.0,-82100000.0,-0.363274336283,2
David Eigenberg,David Eigenberg,[https://en.wikipedia.org/wiki/Robosapien:_Rebooted],0.0,0.0,0.0,,1
Bobby Campo,Bobby Campo,[https://en.wikipedia.org/wiki/The_Final_Destination],186200000.0,40000000.0,53100000.0,1.3275,1
Penélope Cruz,Penélope Cruz,"[https://en.wikipedia.org/wiki/Grimsby_(film), https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_On_Stranger_Tides, https://en.wikipedia.org/wiki/The_Counselor_(film), https://en.wikipedia.org/wiki/Zoolander_2]",1197200000.0,488500000.0,110100000.0,0.225383828045,4
Michael Constantine,Michael Constantine,"[https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding, https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2]",457600000.0,23000000.0,205800000.0,8.94782608696,2
Moisés Arias,Moisés Arias,[https://en.wikipedia.org/wiki/The_Kings_of_Summer],0.0,0.0,0.0,,1
Thomas Dekker,Thomas Dekker,"[https://en.wikipedia.org/wiki/A_Nightmare_on_Elm_Street_(2010_film), https://en.wikipedia.org/wiki/Kaboom_(film)]",115600000.0,35000000.0,22800000.0,0.651428571429,2
Will Forte,Will Forte,"[https://en.wikipedia.org/wiki/A_Good_Old_Fashioned_Orgy, https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2, https://en.wikipedia.org/wiki/Keanu_(film), https://en.wikipedia.org/wiki/Life_of_Crime_(film), https://en.wikipedia.org/wiki/MacGruber_(film), https://en.wikipedia.org/wiki/Nebraska_(film), https://en.wikipedia.org/wiki/She%27s_Funny_That_Way]",333500000.0,127000000.0,39750000.0,0.312992125984,7
Gabriel Macht,Gabriel Macht,[https://en.wikipedia.org/wiki/Middle_Men_(film)],754301.0,20000000.0,-19622849.5,-0.981142475,1
Rae'Ven Larrymore Kelly,Rae'Ven Larrymore Kelly,[https://en.wikipedia.org/wiki/Preacher%27s_Kid_(film)],515065.0,3000000.0,-2742467.5,-0.914155833333,1
"Shad ""Bow Wow"" Moss","Shad ""Bow Wow"" Moss",[https://en.wikipedia.org/wiki/Madea%27s_Big_Happy_Family_(film)],54161287.0,25000000.0,2080643.5,0.08322574,1
Jerry Trimble,Jerry Trimble,[https://en.wikipedia.org/wiki/The_Package_(2013_film)],0.0,0.0,0.0,,1
Charlize Theron,Charlize Theron,"[https://en.wikipedia.org/wiki/A_Million_Ways_to_Die_in_the_West, https://en.wikipedia.org/wiki/Kubo_and_the_Two_Strings, https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road, https://en.wikipedia.org/wiki/Prometheus_(2012_film), https://en.wikipedia.org/wiki/Snow_White_%26_the_Huntsman, https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman, https://en.wikipedia.org/wiki/The_Huntsman:_Winter%27s_War, https://en.wikipedia.org/wiki/Young_Adult_(film)]",1925350000.0,837000000.0,125675000.0,0.150149342891,8
Jason O'Mara,Jason O'Mara,"[https://en.wikipedia.org/wiki/One_for_the_Money_(film), https://en.wikipedia.org/wiki/Resident_Evil:_Extinction]",184600000.0,85000000.0,7300000.0,0.0858823529412,2
Breckin Meyer,Breckin Meyer,[https://en.wikipedia.org/wiki/3_Geezers!],0.0,0.0,0.0,,1
Nolan Sotillo,Nolan Sotillo,[https://en.wikipedia.org/wiki/Prom_(film)],10100000.0,8000000.0,-2950000.0,-0.36875,1
Seiji Miyaguchi,Seiji Miyaguchi,[https://en.wikipedia.org/wiki/Seven_Samurai],0.0,0.0,0.0,,1
Paul Scheer,Paul Scheer,[https://en.wikipedia.org/wiki/Hell_Baby],8785.0,2500000.0,-2495607.5,-0.998243,1
Danila Kozlovsky,Danila Kozlovsky,"[https://en.wikipedia.org/wiki/Hardcore_Henry, https://en.wikipedia.org/wiki/Vampire_Academy_(film)]",29700000.0,32000000.0,-17150000.0,-0.5359375,2
Zach Galifianakis,Zach Galifianakis,"[https://en.wikipedia.org/wiki/Due_Date, https://en.wikipedia.org/wiki/It%27s_Kind_of_a_Funny_Story_(film), https://en.wikipedia.org/wiki/Keeping_Up_with_the_Joneses_(film), https://en.wikipedia.org/wiki/Masterminds_(2016_film), https://en.wikipedia.org/wiki/Puss_in_Boots_(2011_film), https://en.wikipedia.org/wiki/The_Campaign_(film), https://en.wikipedia.org/wiki/The_Hangover:_Part_II, https://en.wikipedia.org/wiki/The_Hangover_(film), https://en.wikipedia.org/wiki/The_Hangover_Part_II, https://en.wikipedia.org/wiki/The_Hangover_Part_III, https://en.wikipedia.org/wiki/You_Are_Here_(2013_film), https://en.wikipedia.org/wiki/Youth_in_Revolt_(film)]",2959551093.0,679000000.0,800775546.5,1.17934542931,12
Anna Paquin,Anna Paquin,"[https://en.wikipedia.org/wiki/Margaret_(2011_film), https://en.wikipedia.org/wiki/Straight_A%27s, https://en.wikipedia.org/wiki/The_Good_Dinosaur, https://en.wikipedia.org/wiki/The_Romantics_(film), https://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past]",1086081568.0,395500000.0,147540784.0,0.373048758534,5
Harry Lennix,Harry Lennix,[https://en.wikipedia.org/wiki/Barbershop_2:_Back_in_Business],66000000.0,30000000.0,3000000.0,0.1,1
Samantha Morton,Samantha Morton,[https://en.wikipedia.org/wiki/John_Carter_(film)],284100000.0,250000000.0,-107950000.0,-0.4318,1
Bill Nighy,Bill Nighy,"[https://en.wikipedia.org/wiki/Arthur_Christmas, https://en.wikipedia.org/wiki/I,_Frankenstein, https://en.wikipedia.org/wiki/Jack_the_Giant_Slayer, https://en.wikipedia.org/wiki/Norm_of_the_North, https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_At_World%27s_End, https://en.wikipedia.org/wiki/Rango_(2011_film), https://en.wikipedia.org/wiki/The_Second_Best_Exotic_Marigold_Hotel, https://en.wikipedia.org/wiki/Total_Recall_(2012_film), https://en.wikipedia.org/wiki/Underworld:_Rise_of_the_Lycans, https://en.wikipedia.org/wiki/Wrath_of_the_Titans]",2333600000.0,1123000000.0,43800000.0,0.0390026714159,10
