actor_name,movies,revenues,costs,gross_profit,return,count
Jon Bernthal,"[https://en.wikipedia.org/wiki/Fury_(2014_film), https://en.wikipedia.org/wiki/Grudge_Match_(film), https://en.wikipedia.org/wiki/Me_and_Earl_and_the_Dying_Girl_(film), https://en.wikipedia.org/wiki/Snitch_(film), https://en.wikipedia.org/wiki/The_Accountant_(2016_film), https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film)]",867200000,275000000,158600000,0.576727273,6
Carrie MacLemore,[https://en.wikipedia.org/wiki/Damsels_in_Distress],1220699,3000000,-2389650.5,-0.796550167,1
Parris Mosteller,[https://en.wikipedia.org/wiki/Judy_Moody_and_the_Not_Bummer_Summer],17000000,20,8499980,424999,1
Hana Mae Lee,[https://en.wikipedia.org/wiki/Pitch_Perfect],115400000,17000000,40700000,2.394117647,1
Fabianne Therese,[https://en.wikipedia.org/wiki/A_Glimpse_Inside_the_Mind_of_Charles_Swan_III],0,0,0,,1
David Boreanaz,[https://en.wikipedia.org/wiki/Officer_Down],0,0,0,,1
Jillian Morgese,[https://en.wikipedia.org/wiki/Much_Ado_About_Nothing_(2012_film)],0,0,0,,1
Mike Judge,[https://en.wikipedia.org/wiki/Spy_Kids_3-D:_Game_Over],197000000,38000000,60500000,1.592105263,1
Leo Fitzpatrick,[https://en.wikipedia.org/wiki/Blue_Caprice],0,0,0,,1
Active Duty Navy SEALs,[https://en.wikipedia.org/wiki/Act_of_Valor],81272766,12000000,28636383,2.38636525,1
Will Sasso,[https://en.wikipedia.org/wiki/The_Three_Stooges_(2012_film)],54800000,30000000,-2600000,-0.086666667,1
Nia Vardalos,"[https://en.wikipedia.org/wiki/For_a_Good_Time,_Call..., https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding, https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2]",458851749,24300000,205125874.5,8.441394012,3
Sarah Baker,[https://en.wikipedia.org/wiki/The_Good_Lie],0,0,0,,1
Fran Drescher,[https://en.wikipedia.org/wiki/Hotel_Transylvania],358400000,85000000,94200000,1.108235294,1
Peter Krause,[https://en.wikipedia.org/wiki/Beastly_(film)],43165571,17000000,4582785.5,0.269575618,1
A$AP Rocky,[https://en.wikipedia.org/wiki/Dope_(2015_film)],18000000,7000000,2000000,0.285714286,1
Joseph Gilgun,[https://en.wikipedia.org/wiki/Lockout_(film)],32200000,20000000,-3900000,-0.195,1
Bill Hader,"[https://en.wikipedia.org/wiki/Angry_Birds_(film), https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_(film), https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2, https://en.wikipedia.org/wiki/Inside_Out_(2015_film), https://en.wikipedia.org/wiki/Paul_(film), https://en.wikipedia.org/wiki/Sausage_Party, https://en.wikipedia.org/wiki/The_BFG_(2016_film), https://en.wikipedia.org/wiki/The_Skeleton_Twins, https://en.wikipedia.org/wiki/Trainwreck_(film)]",2292900000,661670000,484780000,0.732661296,9
Demi Moore,"[https://en.wikipedia.org/wiki/About_Last_Night_(1986_film), https://en.wikipedia.org/wiki/Happy_Tears_(film), https://en.wikipedia.org/wiki/Margin_Call_(film), https://en.wikipedia.org/wiki/The_Joneses]",26522728,13500000,-238636,-0.017676741,4
Bryan Cranston,"[https://en.wikipedia.org/wiki/Argo_(2012_film), https://en.wikipedia.org/wiki/Detachment_(film), https://en.wikipedia.org/wiki/Drive_(2011_film), https://en.wikipedia.org/wiki/Godzilla_(2014_film), https://en.wikipedia.org/wiki/Kung_Fu_Panda_3, https://en.wikipedia.org/wiki/Madagascar_3:_Europe%27s_Most_Wanted, https://en.wikipedia.org/wiki/The_Infiltrator_(2016_film), https://en.wikipedia.org/wiki/The_Lincoln_Lawyer_(film), https://en.wikipedia.org/wiki/Total_Recall_(2012_film)]",2411500000,702500000,503250000,0.716370107,9
Gunnar Hansen,[https://en.wikipedia.org/wiki/Texas_Chainsaw_3D],47200000,15100000,8500000,0.562913907,1
Ben Mendelsohn,"[https://en.wikipedia.org/wiki/Exodus:_Gods_and_Kings, https://en.wikipedia.org/wiki/Killer_Elite_(film), https://en.wikipedia.org/wiki/Lost_River_(film), https://en.wikipedia.org/wiki/Rogue_One, https://en.wikipedia.org/wiki/The_Place_Beyond_the_Pines, https://en.wikipedia.org/wiki/Trespass_(2011_film)]",1424100000,460000000,252050000,0.547934783,6
Tempestt Bledsoe,[https://en.wikipedia.org/wiki/ParaNorman],107100000,60000000,-6450000,-0.1075,1
Jacob Latimore,[https://en.wikipedia.org/wiki/Black_Nativity_(film)],7454185,17500000,-13772907.5,-0.787023286,1
Julianna Margulies,"[https://en.wikipedia.org/wiki/City_Island_(film), https://en.wikipedia.org/wiki/Stand_Up_Guys]",12948516,21000000,-14525742,-0.691702,2
Robert Picardo,[https://en.wikipedia.org/wiki/Mega_Shark_Versus_Crocosaurus],500543,100000,150271.5,1.502715,1
Chris Carmack,[https://en.wikipedia.org/wiki/Shark_Night_3D],40136479,25000000,-4931760.5,-0.19727042,1
Morfydd Clark,[https://en.wikipedia.org/wiki/Love_%26_Friendship],19600000,3000000,6800000,2.266666667,1
Ken Howard,"[https://en.wikipedia.org/wiki/Better_Living_Through_Chemistry_(film), https://en.wikipedia.org/wiki/The_Wedding_Ringer]",79800000,23000000,16900000,0.734782609,2
Mike Vogel,"[https://en.wikipedia.org/wiki/Cloverfield, https://en.wikipedia.org/wiki/She%27s_Out_of_My_League]",220600000,45000000,65300000,1.451111111,2
Brit Marling,"[https://en.wikipedia.org/wiki/Another_Earth, https://en.wikipedia.org/wiki/Arbitrage_(film), https://en.wikipedia.org/wiki/I_Origins, https://en.wikipedia.org/wiki/Sound_of_My_Voice]",2683606,1235000,106803,0.086480162,4
Rebecca Da Costa,[https://en.wikipedia.org/wiki/The_Bag_Man],0,0,0,,1
Lane Styles,[https://en.wikipedia.org/wiki/Heaven_Is_for_Real_(film)],101300000,12000000,38650000,3.220833333,1
Matt Bush,"[https://en.wikipedia.org/wiki/High_School_(2012_film), https://en.wikipedia.org/wiki/Piranha_3DD]",8639034,15000000,-10680483,-0.7120322,2
Catherine Tate,[https://en.wikipedia.org/wiki/Gulliver%27s_Travels_(2010_film)],237400000,112000000,6700000,0.059821429,1
Niall Horan,[https://en.wikipedia.org/wiki/One_Direction:_This_Is_Us],68500000,10000000,24250000,2.425,1
Darlene Love,[https://en.wikipedia.org/wiki/20_Feet_from_Stardom],5800000,1000000,1900000,1.9,1
Willem Dafoe,"[https://en.wikipedia.org/wiki/Daybreakers, https://en.wikipedia.org/wiki/Finding_Nemo, https://en.wikipedia.org/wiki/John_Carter_(film), https://en.wikipedia.org/wiki/Out_of_the_Furnace, https://en.wikipedia.org/wiki/The_Fault_in_Our_Stars_(film)]",1598700000,398000000,401350000,1.008417085,5
Jesse McCartney,"[https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_Chipwrecked, https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Squeakquel, https://en.wikipedia.org/wiki/Chernobyl_Diaries]",823040005,151000000,260520002.5,1.72529803,3
Javier Bardem,"[https://en.wikipedia.org/wiki/Eat_Pray_Love, https://en.wikipedia.org/wiki/The_Counselor_(film), https://en.wikipedia.org/wiki/The_Gunman_(film)]",299800000,125000000,24900000,0.1992,3
Jim Varney,[https://en.wikipedia.org/wiki/Toy_Story],373600000,30000000,156800000,5.226666667,1
Finn Wittrock,[https://en.wikipedia.org/wiki/Unbroken_(film)],163400000,65000000,16700000,0.256923077,1
Adelaide Clemens,"[https://en.wikipedia.org/wiki/No_One_Lives, https://en.wikipedia.org/wiki/Silent_Hill:_Revelation_3D]",52374918,22900000,3287459,0.143557162,2
Carlos Mencia,[https://en.wikipedia.org/wiki/Our_Family_Wedding],0,0,0,,1
Delphine Chan̩ac,[https://en.wikipedia.org/wiki/Splice_(film)],26900000,30000000,-16550000,-0.551666667,1
Jill Clayburgh,[https://en.wikipedia.org/wiki/Bridesmaids_(2011_film)],288400000,32500000,111700000,3.436923077,1
Eddie Redmayne,[https://en.wikipedia.org/wiki/Jupiter_Ascending],184000000,176000000,-84000000,-0.477272727,1
Katherine Waterston,[https://en.wikipedia.org/wiki/Inherent_Vice_(film)],14700000,20000000,-12650000,-0.6325,1
Seth Green,[https://en.wikipedia.org/wiki/Mars_Needs_Moms],39000000,150000000,-130500000,-0.87,1
Tyler James Williams,[https://en.wikipedia.org/wiki/Dear_White_People],0,0,0,,1
Channing Tatum,"[https://en.wikipedia.org/wiki/21_Jump_Street_(film), https://en.wikipedia.org/wiki/22_Jump_Street, https://en.wikipedia.org/wiki/Dear_John_(2010_film), https://en.wikipedia.org/wiki/Foxcatcher, https://en.wikipedia.org/wiki/G.I._Joe:_Retaliation, https://en.wikipedia.org/wiki/G.I._Joe:_The_Rise_of_Cobra, https://en.wikipedia.org/wiki/Hail,_Caesar!, https://en.wikipedia.org/wiki/Haywire_(film), https://en.wikipedia.org/wiki/Jupiter_Ascending, https://en.wikipedia.org/wiki/Magic_Mike, https://en.wikipedia.org/wiki/Side_Effects_(2013_film), https://en.wikipedia.org/wiki/The_Book_of_Life_(2014_film), https://en.wikipedia.org/wiki/The_Dilemma, https://en.wikipedia.org/wiki/The_Eagle_(2011_film), https://en.wikipedia.org/wiki/The_Son_of_No_One, https://en.wikipedia.org/wiki/The_Vow_(2012_film), https://en.wikipedia.org/wiki/White_House_Down]",2461414570,1055100000,175607285,0.166436627,17
Blake Lively,"[https://en.wikipedia.org/wiki/Green_Lantern_(film), https://en.wikipedia.org/wiki/Savages_(2012_film), https://en.wikipedia.org/wiki/The_Age_of_Adaline, https://en.wikipedia.org/wiki/The_Shallows_(film), https://en.wikipedia.org/wiki/The_Town_(2010_film)]",641700000,324000000,-3150000,-0.009722222,5
Jason Momoa,"[https://en.wikipedia.org/wiki/Bullet_to_the_Head, https://en.wikipedia.org/wiki/Conan_the_Barbarian_(2011_film), https://en.wikipedia.org/wiki/Road_to_Paloma]",71637000,145600000,-109781500,-0.753993819,3
Devon Bostick,"[https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Dog_Days_(film), https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Rodrick_Rules_(film), https://en.wikipedia.org/wiki/Jakob_Davies]",221900000,64000000,46950000,0.73359375,3
David Warshofsky,[https://en.wikipedia.org/wiki/Taken_(film)],226800000,22000000,91400000,4.154545455,1
Kevin Heffernan,[https://en.wikipedia.org/wiki/The_Babymakers],0,0,0,,1
Charlie Hunnam,"[https://en.wikipedia.org/wiki/Crimson_Peak, https://en.wikipedia.org/wiki/Deadfall_(2012_film), https://en.wikipedia.org/wiki/Pacific_Rim_(film)]",486000000,245000000,-2000000,-0.008163265,3
Wee Man,[https://en.wikipedia.org/wiki/Jackass_3-D],171700000,20000000,65850000,3.2925,1
Ed Ackerman,[https://en.wikipedia.org/wiki/Hatchet_II],0,0,0,,1
Nat Faxon,[https://en.wikipedia.org/wiki/The_Babymakers],0,0,0,,1
Anders Holm,[https://en.wikipedia.org/wiki/Top_Five],26100000,12000000,1050000,0.0875,1
Jean-Claude Van Damme,"[https://en.wikipedia.org/wiki/Kung_Fu_Panda_2, https://en.wikipedia.org/wiki/The_Expendables_2, https://en.wikipedia.org/wiki/Welcome_to_the_Jungle_(2013_film)]",971187397,253500000,232093698.5,0.915556996,3
Efren Ramirez,[https://en.wikipedia.org/wiki/Casa_de_Mi_Padre],8041667,6000000,-1979166.5,-0.329861083,1
Kate Upton,[https://en.wikipedia.org/wiki/The_Other_Woman_(2014_film)],196700000,40000000,58350000,1.45875,1
