length,based_on,box_office,budget,cinematography,country,director,distributor,editor,language,music,narration,producer,screenplay,starring,story,written_by,site,title,studio,revenues,check_rev,costs,check_costs,release_dates,release_year,release_month,release_day,stars_list,directors_list
Dogfish Pictures
",442313,<type 'float'>,725000,<type 'float'>,"[2013-01-20 00:00:00, 2013-08-09 00:00:00]",2013,8,9-Aug,"[[, , , Paul Rudd, Emile Hirsch, , , ], [, , , Paul Rudd, Emile Hirsch, , , ], [, , , Paul Rudd, Emile Hirsch, , , ], [, , , Paul Rudd, Emile Hirsch, , , ], [, , , Paul Rudd, Emile Hirsch, , , ], [, , , Paul Rudd, Emile Hirsch, , , ], [, , , Paul Rudd, Emile Hirsch, , , ], [, , , Paul Rudd, Emile Hirsch, , , ]]",[[David Gordon Green]]

153 minutes[1],,$122.1 million[2],$46 million[2],Roger A. Deakins,United States,Denis Villeneuve,Warner Bros. Pictures,"Joel Cox
Gary D. Roach",English,JÃ_hann JÃ_hannsson,,"Broderick Johnson
Kira Davis
Andrew A. Kosove
Adam Kolbrenner",,"Hugh Jackman
Jake Gyllenhaal
Viola Davis
Maria Bello
Terrence Howard
Melissa Leo
Paul Dano",,Aaron Guzikowski,https://en.wikipedia.org/wiki/Prisoners_(2013_film),Prisoners,"
Alcon Entertainment
8:38 Productions
Madhouse Entertainment
",122100000,<type 'float'>,46000000,<type 'float'>,"[2013-08-30 00:00:00, 2013-09-20 00:00:00]",2013,9,20-Sep,"[[Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano], [Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano], [Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano], [Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano], [Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano], [Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano], [Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano]]",[[Denis Villeneuve]]

85 minutes[1],,$89.3 million[3],$3 million[2],Jacques Jouffret,United States,James DeMonaco,Universal Pictures,Peter Gvozdas,English,Nathan Whitehead,,"


John Blm
SÃ©bastien K. Lemercier
Michael Bay
Andrew Form
Bradley Fuller


",,"


Ethan Hawke
Lena Headey
Adelaide Kane
Max Burkholder


",,James DeMonaco,https://en.wikipedia.org/wiki/The_Purge,The Purge,"



Blumhouse Productions
Platinum Dunes



",89300000,<type 'float'>,3000000,<type 'float'>,"[2013-05-02 00:00:00, 2013-06-07 00:00:00]",2013,6,7-Jun,"[[, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ], [, , , Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder, , , ]]","[[James DeMonaco], [James DeMonaco], [James DeMonaco]]"

116 minutes[1],"Red
by Warren Ellis
Cully Hamner",$148.1 million[2],$84 million[2],Enrique Chediak,United States,Dean Parisot,Lionsgate Films,Don Zimmerman,English,Alan Silvestri,,"


Lorenzo di Bonaventura
Mark Vahradian
David Ready


","Jon Hoeber
Erich Hoeber","Bruce Willis
John Malkovich
Mary-Louise Parker
Catherine Zeta-Jones
Byung-hun Lee
Anthony Hopkins
Helen Mirren
Neal McDonough",,,https://en.wikipedia.org/wiki/RED_2_(film),Red 2,"
Summit Entertainment
DC Entertainment
di Bonaventura Pictures
",148100000,<type 'float'>,84000000,<type 'float'>,[2013-07-19 00:00:00],2013,7,19-Jul,"[[Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Byung-hun Lee, Anthony Hopkins, Helen Mirren, Neal McDonough], [Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Byung-hun Lee, Anthony Hopkins, Helen Mirren, Neal McDonough], [Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Byung-hun Lee, Anthony Hopkins, Helen Mirren, Neal McDonough], [Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Byung-hun Lee, Anthony Hopkins, Helen Mirren, Neal McDonough], [Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Byung-hun Lee, Anthony Hopkins, Helen Mirren, Neal McDonough], [Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Byung-hun Lee, Anthony Hopkins, Helen Mirren, Neal McDonough], [Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Byung-hun Lee, Anthony Hopkins, Helen Mirren, Neal McDonough], [Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Byung-hun Lee, Anthony Hopkins, Helen Mirren, Neal McDonough]]",[[Dean Parisot]]

111 minutes,"Red
by Warren Ellis
Cully Hamner",$199 million[1],$58 million[1][2],Florian Ballhaus,United States,Robert Schwentke,Summit Entertainment,Thom Noble,English,Christophe Beck,,"


Lorenzo di Bonaventura
Mark Vahradian


","


Jon Hoeber
Erich Hoeber


","


Bruce Willis
Morgan Freeman
John Malkovich
Karl Urban
Mary-Louise Parker
Helen Mirren


",,,https://en.wikipedia.org/wiki/RED_(film),Red,"



DC Entertainment
di Bonaventura Pictures



",199000000,<type 'float'>,58000000,<type 'float'>,"[2010-09-29 00:00:00, 2010-10-15 00:00:00]",2010,10,15-Oct,"[[, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ], [, , , Bruce Willis, Morgan Freeman, John Malkovich, Karl Urban, Mary-Louise Parker, Helen Mirren, , , ]]",[[Robert Schwentke]]

,,"$10,730 ",$5 million,Jeff Garton,United States,Matt Orlando,,Ken Conrad,English,,,"Philip Glasser
Brian Hartman
Aaron Levine
Amanda Jane McBridge
Mischa Barton[1]",,"Mischa Barton
Michael Clarke Duncan
Devon Sawa",,Matt Orlando,https://en.wikipedia.org/wiki/A_Resurrection_(film),A Resurrection,,10730,<type 'float'>,5000000,<type 'float'>,[2013-03-22 00:00:00],2013,3,22-Mar,"[[Mischa Barton, Michael Clarke Duncan, Devon Sawa], [Mischa Barton, Michael Clarke Duncan, Devon Sawa], [Mischa Barton, Michael Clarke Duncan, Devon Sawa]]",[[Matt Orlando]]

119 minutes[1],"Characters
by Jim Wheat
Ken Wheat",$98.3 million[2],$38 million[2],David Eggby,United States,David Twohy,Universal Pictures,Tracy Adams,English,Graeme Revell,,"


Vin Diesel
Ted Field
Samantha Vincent


",,"


Vin Diesel
Jordi MollÃ 
Matt Nable
Katee Sackhoff
Dave Bautista
Bokeem Woodbine
Raoul Trujillo
Karl Urban


",,David Twohy,https://en.wikipedia.org/wiki/Riddick_(film),Riddick,"



Radar Pictures
One Race Films



",98300000,<type 'float'>,38000000,<type 'float'>,"[2013-09-04 00:00:00, 2013-09-06 00:00:00]",2013,9,6-Sep,"[[, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ], [, , , Vin Diesel, Jordi MollÃ , Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban, , , ]]",[[David Twohy]]

"119 minutes
135 minutes (Director's cut)","Characters
by Jim Wheat
Ken Wheat",$115.8 million[1],$105[1]â€“120 million[2],Hugh Johnson,United States,David Twohy,Universal Pictures,"


Tracy Adams
Martin Hunter
Dennis Virkler


",English,Graeme Revell,,"


Scott Kroopf
Vin Diesel


",,"


Vin Diesel
Thandie Newton
Karl Urban
Colm Feore
Linus Roache
Keith David
Yorick van Wageningen
Alexa Davalos
Nick Chinlund
Judi Dench


",,David Twohy,https://en.wikipedia.org/wiki/The_Chronicles_of_Riddick,The Chronicles of Riddick,"



Radar Pictures
One Race Films



",115800000,<type 'float'>,105000000,<type 'float'>,[2004-06-11 00:00:00],2004,6,11-Jun,"[[, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ], [, , , Vin Diesel, Thandie Newton, Karl Urban, Colm Feore, Linus Roache, Keith David, Yorick van Wageningen, Alexa Davalos, Nick Chinlund, Judi Dench, , , ]]",[[David Twohy]]

96 minutes[2],"Rest in Peace Department
by Peter M. Leskov & Lucas Marangon",$78.3 million[5],$103.4 million[4],Alwin H. KÃ_chler,United States[3],Robert Schwentke,Universal Pictures,Mark Helfrich,English,Christophe Beck[1],,"


Peter M. Lenkov
Neal H. Moritz
Mike Richardson


","


Phil Hay
Matt Manfredi


","


Jeff Bridges
Ryan Reynolds
Kevin Bacon
Mary-Louise Parker
Stephanie Szostak
Marisa Miller


","


David Dobkin
Phil Hay
Matt Manfredi


",,https://en.wikipedia.org/wiki/R.I.P.D.,R.I.P.D.,"



Dark Horse Entertainment
Original Film
Relativity Media
101st Street Productions (uncredited)



",78300000,<type 'float'>,103400000,<type 'float'>,"[2013-07-17 00:00:00, 2013-07-19 00:00:00]",2013,7,19-Jul,"[[, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ], [, , , Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, Marisa Miller, , , ]]",[[Robert Schwentke]]

86 minutes[2],Robosapien by WowWee,Unknown,$15 million[3],Christian Sebaldt,United States,Sean McNamara,"TVA Films (Canada)
Anchor Bay Films (US)",Jeff Canavan,English,John Coda,,"Avi Arad
Steven Paul",,"Bobby Coleman
Holliston Coleman
Penelope Ann Miller
David Eigenberg",Avi Arad,"Max Botkin
Avi Arad",https://en.wikipedia.org/wiki/Robosapien:_Rebooted,Robosapien: Rebooted,"
Arc Productions
Arad Productions
Crystal Sky Pictures
Brookwell McNamara Entertainment
",unknown,<type 'unicode'>,15000000,<type 'float'>,[2013-05-28 00:00:00],2013,5,28-May,"[[Bobby Coleman, Holliston Coleman, Penelope Ann Miller, David Eigenberg], [Bobby Coleman, Holliston Coleman, Penelope Ann Miller, David Eigenberg], [Bobby Coleman, Holliston Coleman, Penelope Ann Miller, David Eigenberg], [Bobby Coleman, Holliston Coleman, Penelope Ann Miller, David Eigenberg]]",[[Sean McNamara]]

91 minutes[1],,$62.7 million[3],$30 million[2][3],Mauro Fiore,United States,Brad Furman,20th Century Fox,Jeff McEvoy,English,Christophe Beck,,"


Arnon Milchan
Jennifer Davisson Killoran
Leonardo DiCaprio
Michael Shamberg
Stacey Sher
Brian Koppelman


",,"


Justin Timberlake
Gemma Arterton
Anthony Mackie
Ben Affleck


",,"


Brian Koppelman
David Levien


",https://en.wikipedia.org/wiki/Runner_Runner_(film),Runner Runner,"



Regency Enterprises
Appian Way Productions
Double Feature Films
TSG Entertainment



",62700000,<type 'float'>,30000000,<type 'float'>,"[2013-09-18 00:00:00, 2013-10-04 00:00:00]",2013,10,4-Oct,"[[, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ], [, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ], [, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ], [, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ], [, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ], [, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ], [, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ], [, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ], [, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ], [, , , Justin Timberlake, Gemma Arterton, Anthony Mackie, Ben Affleck, , , ]]",[[Brad Furman]]

116 minutes[2],"Safe Haven
by Nicholas Sparks","US$97,594,140[4]",US$28 million[3],Terry Stacey,United States,Lasse HallstrÃ¶m,Relativity Media,Andrew Mondshein,English,Deborah Lurie[1],,"Marty Bowen
Chad Freet
Wyck Godfrey
Ryan Kavanaugh","Gage Lansky
Dana Stevens","Josh Duhamel
Julianne Hough
Cobie Smulders
David Lyons",,,https://en.wikipedia.org/wiki/Safe_Haven_(film),Safe Haven,"
Relativity Media
Temple Hill Entertainment
",97594140,<type 'float'>,28000000,<type 'float'>,[2013-02-14 00:00:00],2013,2,14-Feb,"[[Josh Duhamel, Julianne Hough, Cobie Smulders, David Lyons], [Josh Duhamel, Julianne Hough, Cobie Smulders, David Lyons], [Josh Duhamel, Julianne Hough, Cobie Smulders, David Lyons], [Josh Duhamel, Julianne Hough, Cobie Smulders, David Lyons]]",[[Lasse HallstrÃ¶m]]

,,"$650,675[1]",,"Anthony Savini
Buddy Squires",United States,Shane Salerno,The Weinstein Company,Jeffrey Doe,English,,,"Shane Salerno
Buddy Squires
Deborah Randall
Craig Fanning",,,,Shane Salerno,https://en.wikipedia.org/wiki/Salinger_(film),Salinger,,650675,<type 'float'>,,,[2013-09-06 00:00:00],2013,9,6-Sep,[],[[Shane Salerno]]

125 minutes[1],,$117.9 million[3],$35 million[2],John Schwartzman,"


Australia
United Kingdom
United States


",John Lee Hancock,"Walt Disney Studios
Motion Pictures",Mark Livolsi,English,Thomas Newman,,"


Alison Owen
Ian Collie
Philip Steuer


",,"


Emma Thompson
Tom Hanks
Paul Giamatti
Jason Schwartzman
Bradley Whitford
Colin Farrell


",,"


Kelly Marcel
Sue Smith


",https://en.wikipedia.org/wiki/Saving_Mr._Banks,Saving Mr. Banks,"



Walt Disney Pictures
Ruby Films
Essential Media and Entertainment
BBC Films
Hopscotch Features



",117900000,<type 'float'>,35000000,<type 'float'>,"[2013-10-20 00:00:00, 2013-11-29 00:00:00, 2013-12-13 00:00:00]",2013,12,13-Dec,"[[, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ], [, , , Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, , , ]]",[[John Lee Hancock]]

"86 minutes[1]
89 minutes (unrated)",,$78.4 million[2],$20 million[2],Steven Douglas Smith,United States,Malcolm D. Lee,"Dimension Films
The Weinstein Company",Sam Seig,English,James L. Venable,,"David Zucker
Phil Dornfeld",,"Ashley Tisdale
Simon Rex
Erica Ash
Molly Shannon
Heather Locklear
J. P. Manoux
Jerry O'Connell
Charlie Sheen
Lindsay Lohan",,"Pat Proft
David Zucker",https://en.wikipedia.org/wiki/Scary_Movie_5,Scary Movie 5,"
Brad Grey Pictures
Dimension Films
",78400000,<type 'float'>,20000000,<type 'float'>,[2013-04-12 00:00:00],2013,4,12-Apr,"[[Ashley Tisdale, Simon Rex, Erica Ash, Molly Shannon, Heather Locklear, J. P. Manoux, Jerry O'Connell, Charlie Sheen, Lindsay Lohan], [Ashley Tisdale, Simon Rex, Erica Ash, Molly Shannon, Heather Locklear, J. P. Manoux, Jerry O'Connell, Charlie Sheen, Lindsay Lohan], [Ashley Tisdale, Simon Rex, Erica Ash, Molly Shannon, Heather Locklear, J. P. Manoux, Jerry O'Connell, Charlie Sheen, Lindsay Lohan], [Ashley Tisdale, Simon Rex, Erica Ash, Molly Shannon, Heather Locklear, J. P. Manoux, Jerry O'Connell, Charlie Sheen, Lindsay Lohan], [Ashley Tisdale, Simon Rex, Erica Ash, Molly Shannon, Heather Locklear, J. P. Manoux, Jerry O'Connell, Charlie Sheen, Lindsay Lohan], [Ashley Tisdale, Simon Rex, Erica Ash, Molly Shannon, Heather Locklear, J. P. Manoux, Jerry O'Connell, Charlie Sheen, Lindsay Lohan], [Ashley Tisdale, Simon Rex, Erica Ash, Molly Shannon, Heather Locklear, J. P. Manoux, Jerry O'Connell, Charlie Sheen, Lindsay Lohan], [Ashley Tisdale, Simon Rex, Erica Ash, Molly Shannon, Heather Locklear, J. P. Manoux, Jerry O'Connell, Charlie Sheen, Lindsay Lohan], [Ashley Tisdale, Simon Rex, Erica Ash, Molly Shannon, Heather Locklear, J. P. Manoux, Jerry O'Connell, Charlie Sheen, Lindsay Lohan]]",[[Malcolm D. Lee]]

83 minutes[1],,$178.3 million,$40 million[2],Thomas E. Ackerman,United States,David Zucker,"


North America:
The Weinstein Company
International:
Buena Vista International


","


Craig Herring
Tom Lewis


",English,James L. Venable,,"


Robert K. Weiss
Craig Mazin


","


Jim Abrahams
Craig Mazin
Pat Proft


","


Anna Faris
Regina Hall
Craig Bierko
Bill Pullman
Anthony Anderson
Carmen Electra
Chris Elliott
Kevin Hart
Cloris Leachman
Michael Madsen
Phil McGraw
Leslie Nielsen
Shaquille O'Neal
Molly Shannon


",Craig Mazin,,https://en.wikipedia.org/wiki/Scary_Movie_4,Scary Movie 4,"



Miramax Films
Dimension Films
Brad Grey Pictures



